Name,URL
Live,https://www.sykescottages.co.uk/
Tech,https://sykes:1.sykes@tech.staging.sykescottages.co.uk/
Product,https://sykes:1.sykes@product.staging.sykescottages.co.uk/
Cro,https://sykes:1.sykes@cro.staging.sykescottages.co.uk/
Project,https://sykes:1.sykes@project.staging.sykescottages.co.uk/
Ephemeral,https://sykes:1.sykes@ephemeralName.dev.sykescottages.co.uk/
Live Best Escapes,https://www.best-escapes.com/letyourcottage/
Live Best of Suffolk,https://www.bestofsuffolk.co.uk/letyourcottage/
Live Carbis Bay Holidays,https://www.carbisbayholidays.co.uk/letyourcottage/
Live Character Cottages,https://www.character-cottages.co.uk/letyourcottage/
Live Coast & Country Cottages,https://www.coastandcountry.co.uk/letyourcottage/
Live Coast & Country Holidays,https://www.welsh-cottages.co.uk/letyourcottage/
Live Cornish Cottage Holidays,https://www.cornishcottageholidays.co.uk/letyourcottage/
Live Dream Cottages,https://www.dream-cottages.co.uk/letyourcottage/
Live Heart of the Lakes,https://www.heartofthelakes.co.uk/letyourcottage/
Live Helpful Holidays,https://www.helpfulholidays.co.uk/letyourcottage/
Live Hogans Irish Cottages,https://www.hogansirishcottages.com/letyourcottage/
Live John Bray Cornish Holidays,https://www.johnbraycornishholidays.co.uk/letyourcottage/
Live Lake District Lodge Holidays,https://www.lakedistrictlodgeholidays.co.uk/letyourcottage/
Live Lakes Cottage Holidays,https://www.lakescottageholiday.co.uk/letyourcottage/
Live Lakelovers,https://www.lakelovers.co.uk/letyourcottage/
Live Large Holiday Houses,https://www.lhhscotland.com/letyourcottage/  
Live Lyme Bay Holidays,https://www.lymebayholidays.co.uk/letyourcottage/
Live Manor Cottages,https://www.manorcottages.co.uk/letyourcottage/
Live Menai Holiday Cottages,https://www.menaiholidays.co.uk/letyourcottage/
Live Northumbria Coast & Country Cottages,https://www.northumbria-cottages.co.uk/letyourcottage/
Live Yorkshire Coastal,https://www.yorkshirecoastalcottages.com/letyourcottage/
Tech Best Escapes,https://sykes:1.sykes@boe.tech.staging.cottage-search.com/letyourcottage/
Tech Best of Suffolk,https://sykes:1.sykes@bos.tech.staging.cottage-search.com/letyourcottage/
Tech Carbis Bay Holidays,https://sykes:1.sykes@cbh.tech.staging.cottage-search.com/letyourcottage/
Tech Character Cottages,https://sykes:1.sykes@cha.tech.staging.cottage-search.com/letyourcottage/
Tech Coast & Country Cottages,https://sykes:1.sykes@coastandcountry.tech.staging.cottage-search.com/letyourcottage/
Tech Coast & Country Holidays,https://sykes:1.sykes@wch.tech.staging.cottage-search.com/letyourcottage/
